genre,Age,Hours per day,Anxiety,Depression,Insomnia,OCD
classical,26.22641509433962,2.8820754716981134,4.886792452830188,4.0754716981132075,3.792452830188679,2.3773584905660377
country,25.36,3.42,5.4,4.32,2.72,2.76
edm,22.054054054054053,4.594594594594595,5.486486486486487,5.243243243243243,3.972972972972973,3.0
folk,25.8,3.2366666666666664,6.566666666666666,5.066666666666666,3.6333333333333333,2.2
gospel,55.666666666666664,2.375,4.833333333333333,2.6666666666666665,5.333333333333333,0.3333333333333333
hip-hop,23.441176470588236,3.9285714285714284,6.2,5.8,3.4285714285714284,2.7142857142857144
jazz,25.45,5.425,5.9,4.5,3.85,2.8
k pop,18.423076923076923,4.0,6.230769230769231,4.423076923076923,3.4615384615384617,2.5384615384615383
latin,17.666666666666668,6.666666666666667,4.333333333333333,3.0,3.3333333333333335,1.6666666666666667
lofi,22.1,4.2,6.1,6.6,5.6,3.4
metal,25.113636363636363,3.596590909090909,5.761363636363637,5.068181818181818,4.556818181818182,2.397727272727273
pop,23.25438596491228,2.9078947368421053,6.074561403508772,4.4868421052631575,3.3684210526315788,2.8552631578947367
rap,21.772727272727273,5.318181818181818,5.090909090909091,4.0,2.272727272727273,3.1818181818181817
rnb,25.34285714285714,3.4714285714285715,5.171428571428572,3.8285714285714287,2.8857142857142857,2.742857142857143
rock,28.420212765957448,3.6340425531914895,6.122340425531915,5.236702127659575,3.88031914893617,2.6781914893617023
video game music,21.59090909090909,2.914772727272727,5.886363636363637,4.4772727272727275,4.0,2.3863636363636362
